symbol,trade_date,prev_close,open_price,high_price,low_price,last_price,close_price,avg_price,volume,no_of_trades
WIPRO,2025-12-09,261.38,261.38,261.82,257.05,257.39,257.41,258.06,8560580,75288
WIPRO,2025-12-08,259.91,260.01,263.07,259.71,260.83,261.38,261.37,9684253,97906
WIPRO,2025-12-05,256.93,258.2,261.1,257.7,259.5,259.91,259.65,7886562,88688
WIPRO,2025-12-04,254.69,256,258.8,255.5,257.3,256.93,257.22,10687381,89639
WIPRO,2025-12-03,250.17,250.6,257.13,250.55,254.2,254.69,255.04,17215454,139700
WIPRO,2025-12-02,250.28,250,251.45,248.87,250.74,250.17,249.96,8535708,86860
WIPRO,2025-12-01,249.53,250.1,250.75,248.86,250.1,250.28,250.08,3865446,71087
WIPRO,2025-11-28,249.56,251,251.99,248.6,249.55,249.53,249.95,7049965,67376
WIPRO,2025-11-27,250.19,250.4,251.92,247.69,249.3,249.56,249.68,5268129,74342
WIPRO,2025-11-26,245.64,246,250.55,245.62,250.08,250.19,248.94,8202096,86257
WIPRO,2025-11-25,247.27,248,248,244,245.59,245.64,245.87,8188793,97736
WIPRO,2025-11-24,244.49,245.02,249.38,245.02,247.44,247.27,247.61,19711070,104905
WIPRO,2025-11-21,246.26,245,247.25,243.61,244.61,244.49,245.32,5516450,64254
WIPRO,2025-11-20,246.07,247.5,247.8,245.71,246.38,246.26,246.32,6705862,62389
WIPRO,2025-11-19,240.9,241.2,246.85,240.54,246.06,246.07,245.17,13298452,98584
WIPRO,2025-11-18,244.05,242.93,244,240.3,241,240.9,241.73,4730012,51881
WIPRO,2025-11-17,244.37,243.97,244.78,242.69,243.7,244.05,243.79,6559062,59521
WIPRO,2025-11-14,245.33,243.92,245.9,242.15,245.15,244.37,243.59,6841554,91626
WIPRO,2025-11-13,245.22,246,246,244,245.34,245.33,245.37,6211124,93441
WIPRO,2025-11-12,241.69,242.75,246.3,242.1,245.39,245.22,245.02,13152546,103627
WIPRO,2025-11-11,239.84,241.1,242.05,238.81,241.75,241.69,240.7,8831094,88771
WIPRO,2025-11-10,236.49,237.44,241.55,237.02,239.85,239.84,239.84,8566758,82903
WIPRO,2025-11-07,240.05,238.7,239.25,236,236.75,236.49,236.77,5520619,87628
WIPRO,2025-11-06,237.92,240,240.62,238.37,240.05,240.05,239.71,7141517,77981
WIPRO,2025-11-04,240.5,240.5,240.84,237.52,238.3,237.92,238.37,6848284,103001
WIPRO,2025-11-03,240.67,240.67,241.29,239.5,240.72,240.5,240.43,4902693,75660
WIPRO,2025-10-31,241.92,242.11,243.19,240.5,240.9,240.67,241.46,5659566,67133
WIPRO,2025-10-30,242.28,242.89,244.77,240.5,242,241.92,241.98,8344622,79344
WIPRO,2025-10-29,242.38,243.6,243.6,241.64,242.65,242.28,242.4,8776917,67295
WIPRO,2025-10-28,243.91,243.66,244.7,241.4,242.7,242.38,242.41,8780789,89491
WIPRO,2025-10-27,242.98,243.29,245.73,243.06,243.9,243.91,244.35,9550336,65767
WIPRO,2025-10-24,244.3,245,245.88,242.16,243.25,242.98,243.83,6803979,62407
WIPRO,2025-10-23,241.36,244.8,247.8,243.37,244.3,244.3,245.57,18964626,124858
