symbol,trade_date,prev_close,open_price,high_price,low_price,last_price,close_price,avg_price,volume,no_of_trades
M&M,2025-11-13,3754.30,3748.20,3754.10,3690.20,3699.40,3699.50,3722.97,1599079,82467
M&M,2025-11-12,3749.10,3761.00,3781.00,3740.00,3740.30,3754.30,3759.25,1984901,122975
M&M,2025-11-11,3663.90,3699.90,3759.00,3670.00,3745.10,3749.10,3718.02,3044040,151361
M&M,2025-11-10,3690.20,3690.20,3715.80,3645.10,3666.00,3663.90,3670.99,1620889,108575
M&M,2025-11-07,3618.50,3615.60,3718.00,3566.80,3685.00,3690.20,3657.39,2595934,114599
M&M,2025-11-06,3581.20,3625.00,3674.70,3586.30,3615.10,3618.50,3632.90,4535984,236481
M&M,2025-11-04,3548.90,3548.60,3632.80,3537.20,3584.30,3581.20,3579.83,3494428,158797
M&M,2025-11-03,3487.20,3511.00,3590.00,3511.00,3553.20,3548.90,3553.25,1776510,101811
M&M,2025-10-31,3502.10,3516.10,3526.70,3483.70,3490.60,3487.20,3497.71,1915577,86391
M&M,2025-10-30,3534.70,3540.00,3550.00,3496.00,3503.00,3502.10,3509.41,2103351,154066
M&M,2025-10-29,3579.10,3580.00,3583.50,3522.10,3539.50,3534.70,3539.66,2526473,116799
M&M,2025-10-28,3611.60,3605.00,3624.90,3562.00,3581.00,3579.10,3591.79,2851093,134052
M&M,2025-10-27,3625.00,3626.80,3635.30,3593.00,3616.00,3611.60,3612.50,1440893,115594
M&M,2025-10-24,3623.60,3630.00,3655.30,3615.10,3618.20,3625.00,3633.70,1654500,86815
M&M,2025-10-23,3621.20,3632.10,3650.00,3600.00,3627.50,3623.60,3627.70,3724956,175986
M&M,2025-10-21,3599.10,3608.20,3628.10,3604.30,3606.00,3621.20,3621.39,286950,28419
M&M,2025-10-20,3647.20,3674.00,3676.00,3593.00,3596.70,3599.10,3630.88,2827250,120487
M&M,2025-10-17,3560.80,3561.00,3656.00,3560.10,3656.00,3647.20,3629.84,3339579,143948
M&M,2025-10-16,3497.20,3503.00,3573.20,3498.30,3563.90,3560.80,3552.62,2125552,149417
M&M,2025-10-15,3459.80,3461.00,3500.00,3460.00,3494.40,3497.20,3490.86,1319445,74577
M&M,2025-10-14,3459.70,3469.90,3487.10,3428.00,3453.00,3459.80,3453.14,1518505,88544
M&M,2025-10-13,3454.90,3432.00,3470.00,3432.00,3457.00,3459.70,3456.02,1090517,98582
M&M,2025-10-10,3442.90,3425.00,3473.90,3395.70,3454.00,3454.90,3444.15,1416272,98132
M&M,2025-10-09,3426.50,3450.00,3475.00,3424.00,3436.00,3442.90,3441.65,1997853,99935
M&M,2025-10-08,3492.80,3500.00,3509.70,3422.60,3425.00,3426.50,3447.19,1444911,96223
M&M,2025-10-07,3472.00,3468.10,3521.40,3465.10,3497.00,3492.80,3491.83,1508939,88944
M&M,2025-10-06,3462.00,3462.00,3480.00,3425.10,3476.00,3472.00,3463.48,1156082,71226
M&M,2025-10-03,3463.40,3462.10,3492.40,3404.20,3460.00,3462.00,3445.02,2357702,122072
M&M,2025-10-01,3427.00,3419.20,3501.00,3415.50,3468.50,3463.40,3467.09,2364844,120394
M&M,2025-09-30,3418.10,3420.00,3454.00,3393.10,3435.00,3427.00,3425.21,2611078,121816
M&M,2025-09-29,3396.50,3419.00,3458.00,3405.00,3433.10,3418.10,3431.03,3175716,211089
M&M,2025-09-26,3530.00,3510.00,3547.50,3391.60,3400.00,3396.50,3438.21,3046760,211846
M&M,2025-09-25,3574.90,3579.90,3584.10,3521.80,3538.20,3530.00,3545.18,2106344,120749
M&M,2025-09-24,3614.60,3614.50,3626.30,3568.00,3580.50,3574.90,3593.60,1320014,99535
M&M,2025-09-23,3584.80,3610.00,3679.20,3606.80,3610.00,3614.60,3627.06,2523224,126861
M&M,2025-09-22,3592.10,3600.00,3616.60,3569.30,3585.00,3584.80,3592.08,1664133,80506
M&M,2025-09-19,3642.20,3601.00,3636.70,3584.50,3600.90,3592.10,3602.33,4018342,116789
M&M,2025-09-18,3633.20,3636.10,3650.00,3603.30,3637.00,3642.20,3629.28,2480472,107896
M&M,2025-09-17,3608.00,3608.00,3644.90,3593.10,3635.00,3633.20,3625.72,2237804,92659
M&M,2025-09-16,3530.30,3545.00,3619.90,3528.90,3612.00,3608.00,3580.21,2465043,117952
